原文,生词,解释,备注
"TPO 1-1 

Groundwater",meteoric ,疾速的、流星的,meteoric water：雨水
,grain,谷物、细粒,sand grain：沙砾
,pebble,卵石,
,gravel,沙砾、砾石,
,coarse,粗糙的,
,sediment,沉淀物,
,outwash,冰水沉积,glacial outwash：冰水沉积
,fanwise,成扇形地,
,cementing,粘固,
,percolate,渗透,
,porous,能穿透的、有孔的,
,crystalline,水晶的、清澈的,
,basalt,玄武岩,
,porosity,多孔性,
,permeability,渗透性,
,cavity,洞、腔,
,crevice,裂缝、缺口,
,pore,气孔,
"TPO 1-2 

The Origins of Theater",anthropologist,人类学家,
,envision,设想、想象,
,efficacious,有效的,
,pantomime,哑剧,
,impersonation,扮演,
,virtuosity,精湛技艺,
,theatrical,戏剧性的、夸张的,
,antecedent,祖先、在前的,
,deviation,偏离,
"TPO 2-1

Desert Formation",subsequent,后来的,
,substantial,大量的,
,runoff,径流,
,deterioration,恶化、衰退,
,aridity,干旱、荒芜,
,semiarid,半干旱的,
,overgrazing,过度放牧,
,necessitate,使…成为必要,
,trampling,踩,
,pulverization,粉碎,
,salinization,盐化,
,drainage,排水,drainage system：排水系统
,rigorously,严厉地、残酷地,
"TPO 2-2

The Origins of Cetaceans",cetacean,鲸目动物,
,gill,腮,
,streamlined,流线型的,
,affinity,密切关系、吸引力,
,otter,獭,sea otter：海獭
,pinniped,鳍足类的,
,walruse,海象,
,archaeocyte,原始细胞,
,mesonychid,中爪兽目,
,hind,（动物的腿）后面的,hind leg：后肢
,vestigial,残余的,
,locomotion,运动,
,propulsion,推进,
"TPO 3-1

Architecture",enclose,围住、封闭,
,mediocre,平庸的,
,devise,策划,
,integral,完整的、基本的、必须的,
,plumbing,管道工程,
"TPO 3-2

Depletion of the Ogallala Aquifer",aquifer,地下储水层,
,sorghum,高粱,
,negligible,微不足道的,
,withdrawal,退出,
,depletion,减少、消耗,
,grandiose,宏伟的、浮夸的,
,tenfold,十倍的,
,capillary,毛细血管,capillary water：泥土中的水
"TPO 4-1

Deer Population of the Puget Sound",prevalent,普遍存在的,
,prairie,大草原,
,understory,林下叶层,
,shrub,灌木,
,herb,草,
,dormancy,隐匿,
,fluctuate,波动,
,bemoan,抱怨、哀叹,
,succulent,多汁的,
,game,猎物,game animal：狩猎动物
,extermination,消灭、根绝,
,bode,预兆,
,plight,境况、困境,
,encroach,侵入,
,tract,大片土地,
,browse,（动物）吃草,
"TPO 4-2

Cave Art in Europe",crude,简陋的,
,Paleolithic,旧石器时代的,
,slab,厚板,
,backdrop,背景,
,trapping,诱捕,
,tusk,獠牙,
,shaft,柄,
,figurine,小雕像,
"TPO 5-1

Mineral and Plants",nitrate,硝酸根,nitrate ion：硝酸根离子
,notoriously,众所周知的,
,deficient,有缺陷的,
,serpentine,像蛇般蜷曲的,serpentine soil：蛇纹岩土壤
,pigmentation,染色,
,chlorosis,萎黄病,
,stunted,成长受妨碍的,
,herbaceous,草本的,
,slender,苗条的,
,discoloration,褪色,
,petioles,叶柄,
,hydroponically,水培地,
,aeroponics,气栽法,
,hyperaccumulator,超富集植物,
,microbial,微生物的,
,pathogen,病原体,microbial pathogen：微生物病原体
,phytoremediation,植物修复,
,remediation,修复、补救,
,smelter,熔炉,
"TPO 5-2

The Origin of the Pacific Island People",implicitly,含蓄地,
,deprecate,不赞成、反对,
,balsa,轻木,balsa-log：轻质木筏
,reed,芦苇,
,domesticated,驯化的,
,prerequisite,先决条件,
,maritime,海事的,
,outrigger,舷外支架,
,canoe,独木舟,
,undisputed,无可置疑的,
"TPO 6-1

Powering the Industrial Revolution",abounded,大量存在、富于,
,piston,活塞,
,embody,体现,
,devise,设计,
,well-to-do,富有的、小康,
,charcoal,木炭,
,bellow,风箱,
,ore,矿石,
,turnpike,收费公路,
,roadbed,路基,
,flanged,带凸缘的,
,haul,拖,
,puffing,喷出,
"TPO 6-2

William Smith",blacksmith,铁匠,
,roam,漫游,
,survey,勘测,
,parish,（英国）郡以下的行政区,
,outcrop,露出地面的岩层,
,breadth,宽度,
,strata,岩层,单数：stratum
,meticulously,异常细致地,
,catalog,列入目录,
,shale,页岩,
,faunal,动物区系的,
,ubiquitous,无所不在的,
,arthropod,节肢动物,
,Cambrain,寒武纪的,
"TPO 27-1

Crafts in the Ancient Near East",utilitarian,实用的,
,pottery,陶器,
,bevel,斜边,beveled-rim bowl：斜面边碗
,artisan,技工,
,textile,纺织品,
,faience,彩瓷,
,bullae,印玺,
,legible,易读的,
"TPO 27-2

The Formation of Volcanic Islands",crust,地壳,
,tectonic,构造的,tectonic plate：构造板块
,jigsaw,拼图玩具,
,semiliquid,半流体,
,mantle,地幔,
,subduction,潜没,
,plunge,俯冲,
,volcanism,火山活动,
,uneventful ,平静的,
,eroded,侵蚀,
,plume,（尘、火、水等升起的）一股，一团,mantle plume：地幔柱
,backtrack,循迹调查,
"TPO 28-1

Groundwater",potable,适合饮用的,
,fracture,断裂,
,reservoir,储藏、蓄积,
,intergranular,粒间的,
,tortuous,曲折的,
,compaction,压实,
,aquiclude,隔水层,
,igneous,火成的,igneous rock：火成岩
,metamorphic,变质的,metamorphic rock：变质岩
,water table,地下水位,
,contour,等高线、轮廓,
,topographythe,地形,
,vadose,渗流的,
,topographic,地形学上的、地质的,
"TPO 28-2

Early Saharan Pastoralists",pastoralist,牧民,
,albeit,虽然、即使,
,oxen,公牛（复数）,单数：ox
,sparse,稀少的,
,confined,受限制的,
,inbreeding,近亲交配,
,juxtaposition,并列、并置,
,adze,扁斧,
,pastoral,牧人的,
,millet,小米,
,barley,大麦,
"TPO 29-1

Characteristics of Roman Pottery",amphorae,双耳细颈椭圆土罐,单数：amphora
,kiln,窑,
,blemish,瑕疵,
,glossy,有光泽的,
,elusive,难以捉摸的,
,potsherd,陶瓷碎片,
,afield,在野外、远离着,
,farmstead,农场及其建筑物,
"TPO 29-2

Competition",intraspecies,种内的,
,interspecies,种间,
,indigenous,土生土长的,
,superabundant,过剩的,
,herbivore,食草动物,
,graphically,生动地、轮廓分明地,
,concurrent,同时发生的,
,niche,凹洞,
,substrate,底层,
"TPO 30-1

Role of Play in Development",primate,灵长目动物,
,canid,犬科动物,
,impoverished,穷困的,
,synaptic,突触的,
,cerebellum,小脑,
,pouncing,突然袭击,
,courtship ,求偶,
"TPO 30-2

The Pace of Evolutionary Change",enliven,使有生气,
,obscure,使…模糊不清,
,paleontologist,古生物学者,
,punctuated,不时打断,
,jerky,忽动忽停的,
"TPO 31-1

Speciation in Geographically Isolated Populations",speciation,物种形成,
,subpopulation,子总体,
,variant,不同的、变异的,
,interbreed,异种交配,
,allopatry,异域分布,
,intermittent,间歇的,
,trickle,细流,
,monstrous,巨大的,
,divergence,分叉、分歧,
,imperceptibly,不知不觉地,
,colossal,巨大的,
,isthmus,地峡,
,electrophoresis,电泳疗法,gel electrophoresis：凝胶电泳
"TPO 31-2
Early Childhood Education",geared,为…而准备,be geared toward…
,readiness,准备就绪,
,,,
"TPO 32-1

Plant Colonization",spore,孢子,
,propagule,繁殖体,
,dispersal,散布,动词：disperse
,viable,能自行生产发育的，切实可行的,
,germinate,发芽、生长,
,ameliorate,改善,
"TPO 32-2

Siam, 1851-1910",displace,替换、取代,
,enticed,诱惑、怂恿,
,census,人口普查,
,aristocracy ,贵族,
,homogenous,同质的,
,arbitrary,专制的、任意的、武断的,
"TPO 33-1

The First Civilizations",culminate,以…结束、告终,
,prehistorian,史前学家,
,forage,寻找粮草,
,floodplain,漫滩,
,prowess,高超技艺,
,hereditary,世袭的,
,monarchy,君主政治,
,imposing,壮观的,
,precinct,管辖区,
,ostentatious,浮华的,
,contemporaries,同代人,
"TPO 33-2

Railroads and Commercial Agriculture in Nineteenth-Century United States",bushel,蒲式耳,
,bustling,繁忙的,
,lard,猪油,
,tallow,牛脂,
,prairie,大草原,
,erect,建立,
,surpluses,盈余,单数：surplus
,checkerboard,西洋跳棋盘,
"TPO 34-1

Islamic Art and the Book",parchment,羊皮纸,
,mosque,清真寺,
,adjacent,邻近的,
,cellulose,纤维素,cellulose pulp：纤维素纸浆
,pulp,纸浆,
,surplant,取代、代替,
,practitioner,习艺者、专门人才,
,correspondence ,通信、往来书信,
,inscription,碑文,
,repertory,仓库、贮藏（尤指知识等的）,
"TPO 34-2

The Development of Steam Power",stagnate,停滞、不发展、变萧条,
,condenser,冷凝器,
,bellow,咆哮,
,puddling ,搅炼、捣成泥浆,puddling furnace：搅铁炉
